stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,foreground_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence
1783534370.592986,-21.550300,13.962300,96.524845,-21.380300,15.204400,162,1,1,5.701460,-0.509547,-21.691933,19.684731,0.349783
1783534370.616526,-21.561900,14.103900,93.255073,-21.333100,15.332300,172,1,1,5.701460,-0.509547,-21.376910,19.825094,0.349783
1783534370.729099,-21.565700,14.239800,90.291150,-21.278600,15.464100,191,1,1,5.701460,-0.509547,-21.085131,19.943775,0.349783
1783534370.754957,-21.562000,14.386100,87.133474,-21.221900,15.588200,183,0,1,5.701460,-0.509547,-20.767963,20.054943,0.349783
1783534370.861668,-21.551200,14.526000,84.349789,-21.156100,15.719600,196,1,1,4.617982,-0.599634,-20.499816,19.062509,0.770528
1783534370.887488,-21.533700,14.665200,81.626762,-21.081500,15.857300,181,0,1,4.617982,-0.599634,-20.267983,19.146637,0.370528
1783534370.995982,-21.510800,14.797300,79.076185,-20.983100,16.020800,192,2,1,4.679454,-0.471539,-20.161032,19.302604,0.562011
1783534371.023596,-21.480300,14.936400,76.397619,-20.869800,16.188700,186,2,1,4.550357,-0.258715,-20.158677,19.298280,0.596352
1783534371.123113,-21.446200,15.063900,73.996771,-20.738800,16.364800,211,2,1,4.436583,-0.077981,-20.148112,19.307050,0.675418
1783534371.154906,-21.406400,15.192100,71.773971,-20.609600,16.522800,220,3,1,4.336700,0.066151,-20.112858,19.331918,0.555201
1783534371.251850,-21.358800,15.326600,69.541118,-20.471600,16.677900,237,1,1,4.210764,0.248110,-20.119450,19.358486,0.583450
1783534371.276864,-21.307700,15.455300,67.391391,-20.319000,16.837100,225,1,1,4.076370,0.392373,-20.102825,19.369253,0.542092
1783534371.381549,-21.254500,15.576300,65.377766,-20.165300,16.986200,225,0,1,4.076370,0.392373,-19.912844,19.445500,0.417092
1783534371.408746,-21.194300,15.701000,63.280709,-20.013800,17.123500,234,2,1,4.169288,0.382971,-19.661783,19.597283,0.540545
1783534371.507738,-21.133600,15.816200,61.418588,-19.850500,17.262100,209,2,1,4.233951,0.342439,-19.408757,19.698019,0.519316
1783534371.536550,-21.069300,15.929300,59.601211,-19.693100,17.387400,221,0,1,4.233951,0.342439,-19.222217,19.754465,0.419316
1783534371.633659,-20.995500,16.051200,57.473713,-19.532100,17.508100,221,2,1,4.159541,0.437057,-19.127474,19.793295,0.533111
1783534371.659674,-20.902400,16.192700,54.954712,-19.365200,17.626200,229,1,1,3.830046,0.727039,-19.298322,19.745836,0.501388
1783534371.757960,-20.786800,16.351300,52.513287,-19.197900,17.738200,228,0,1,3.830046,0.727039,-19.032822,19.832880,0.376388
1783534371.782707,-20.660500,16.509900,50.046873,-19.025200,17.847700,233,0,1,3.830046,0.727039,-18.758321,19.912775,0.376388
1783534371.885510,-20.524600,16.666400,47.629809,-18.849800,17.953000,253,1,1,3.631920,0.888619,-18.733501,19.948541,0.483748
1783534371.910802,-20.382200,16.817200,45.248168,-18.669200,18.055600,253,1,1,3.594727,0.904107,-18.493441,20.006567,0.607591
1783534372.010574,-20.250200,16.946600,43.244490,-18.486100,18.154000,248,1,1,3.368840,1.029588,-18.501597,20.004626,0.570774
1783534372.038076,-20.091900,17.090700,41.056503,-18.321200,18.238000,268,0,1,3.368840,1.029588,-18.227822,20.079738,0.345774
1783534372.147123,-19.928400,17.228900,39.083144,-18.128200,18.331000,249,0,1,3.368840,1.029588,-17.962500,20.151976,0.345774
1783534372.175352,-19.750000,17.369600,37.152484,-17.723800,18.508200,258,1,1,3.270433,0.999354,-17.746912,20.141256,0.628224
1783534372.272161,-19.580300,17.494900,35.477234,-17.723800,18.508200,271,0,1,3.270433,0.999354,-17.497040,20.206812,0.353224
1783534372.297209,-19.409700,17.613500,33.833263,-17.527500,18.585700,255,1,1,2.741552,1.198962,-17.799954,20.135867,0.538637
1783534372.403193,-19.244000,17.722000,32.396698,-17.332500,18.657400,261,1,1,2.787408,1.118188,-17.489528,20.159584,0.749600
1783534372.427730,-19.053500,17.839800,30.826259,-17.145000,18.721200,263,0,1,2.787408,1.118188,-17.232883,20.228386,0.349600
1783534372.531997,-18.868400,17.947700,29.436450,-16.931100,18.787400,273,1,1,2.296723,1.239596,-17.477390,20.156009,0.744897
1783534372.556419,-18.689300,18.046600,28.194137,-16.724700,18.844800,280,0,1,2.296723,1.239596,-17.250739,20.224232,0.344897
1783534372.660518,-18.508200,18.141700,26.968101,-16.526200,18.893400,260,0,1,2.296723,1.239596,-17.023374,20.288053,0.344897
1783534372.723935,-18.313400,18.238400,25.661871,-16.326100,18.935300,308,0,1,2.296723,1.239596,-16.780032,20.350347,0.344897
1783534372.748428,-18.125300,18.326800,24.440759,-16.112000,18.972500,298,0,1,2.296723,1.239596,-16.547273,20.405590,0.344897
1783534372.853470,-17.947200,18.405900,23.281362,-15.906300,19.000800,281,2,1,2.219209,0.980742,-16.296325,20.183920,0.786876
1783534372.879287,-17.746600,18.489900,21.971608,-15.712700,19.020200,255,2,1,2.344453,0.892319,-15.906285,20.194580,0.796684
1783534372.979794,-17.565300,18.561300,20.783556,-15.495900,19.033100,328,4,1,2.464244,0.793012,-15.542802,20.177118,0.808081
1783534373.006119,-17.370400,18.633200,19.502237,-15.301400,19.036700,297,2,1,2.244490,0.854082,-15.539809,20.187590,0.805382
1783534373.104732,-17.180000,18.698600,18.154327,-15.094000,19.032200,296,2,1,2.060527,0.899240,-15.502227,20.195090,0.803850
1783534373.172296,-16.975700,18.763100,16.613539,-14.893500,19.019300,275,1,1,2.232164,0.832312,-15.074688,20.198876,0.809030
1783534373.196207,-16.760300,18.824400,14.877119,-14.681000,18.995900,304,2,1,2.348798,0.801042,-14.695902,20.201636,0.810303
